SOURCE,TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
sentinel,Northern Rockies,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,25.32616496862912
sentinel,Northern Rockies,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.6638092019444108
sentinel,Puget Lowland,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,18.55932463312618
sentinel,Puget Lowland,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.27197959187460674
sentinel,Puget Lowland,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,14.432454721066128
sentinel,Puget Lowland,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.21150193891096958
sentinel,Puget Lowland,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,5.171129808807136
sentinel,Puget Lowland,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.0757808704105346
sentinel,Puget Lowland,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,19.802040276204856
sentinel,Puget Lowland,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.29019110011114296
sentinel,Puget Lowland,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,16.34026534587728
sentinel,Puget Lowland,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.2394601521200875
sentinel,Puget Lowland,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-8.416366076067822
sentinel,Puget Lowland,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.12333852959015962
sentinel,Willamette Valley,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,15.35157556197927
sentinel,Willamette Valley,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.23982529608407194
sentinel,Willamette Valley,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,12.448311652698061
sentinel,Willamette Valley,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.19446994321866248
sentinel,Willamette Valley,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-8.153158240686473
sentinel,Willamette Valley,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.12737022211164
sentinel,Willamette Valley,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,22.446920265127392
sentinel,Willamette Valley,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.35067014958988746
sentinel,Willamette Valley,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,19.593401179471076
sentinel,Willamette Valley,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.30609192002405883
sentinel,Willamette Valley,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-17.71932361376567
sentinel,Willamette Valley,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.27681471617841863
sentinel,Blue Mountains,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,28.925494461756838
sentinel,Blue Mountains,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.9212883034060911
sentinel,Blue Mountains,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,23.0410301510759
sentinel,Blue Mountains,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.7338658153166114
sentinel,Blue Mountains,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-21.727259831654376
sentinel,Blue Mountains,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.6920217171890795
sentinel,Blue Mountains,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,50.75225406280975
sentinel,Blue Mountains,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,1.6164791271374863
sentinel,Blue Mountains,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,38.84005897152857
sentinel,Blue Mountains,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,1.2370710578995148
sentinel,Blue Mountains,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,38.10441468087238
sentinel,Blue Mountains,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.2136404997341192
sentinel,Cascades,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,18.16002639180549
sentinel,Cascades,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.278972295911231
sentinel,Cascades,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,14.581208368291177
sentinel,Cascades,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.22399489339386494
sentinel,Cascades,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-3.161090620262604
sentinel,Cascades,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.04856032083279593
sentinel,Cascades,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,21.381091017684778
sentinel,Cascades,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.32845393071576373
sentinel,Cascades,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,16.538507886426164
sentinel,Cascades,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.254062709848496
sentinel,Cascades,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-4.883437145491913
sentinel,Cascades,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.075018815668176
sentinel,Eastern Cascades,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,19.608919692747556
sentinel,Eastern Cascades,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.4848286080804314
sentinel,Eastern Cascades,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,15.127312044280789
sentinel,Eastern Cascades,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.3740213003748273
sentinel,Eastern Cascades,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-5.876652404226104
sentinel,Eastern Cascades,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.14529965189093208
sentinel,Eastern Cascades,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,34.02118652804181
sentinel,Eastern Cascades,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.841170486089337
sentinel,Eastern Cascades,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,28.396796883786305
sentinel,Eastern Cascades,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.702108006092801
sentinel,Eastern Cascades,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-22.783073888163578
sentinel,Eastern Cascades,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.5633092579331302
sentinel,Klamath Mountains,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,17.600272586257184
sentinel,Klamath Mountains,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.29727770139587834
sentinel,Klamath Mountains,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,13.500343889039364
sentinel,Klamath Mountains,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.22802778648560587
sentinel,Klamath Mountains,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,4.523002406544317
sentinel,Klamath Mountains,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.07639584854358533
sentinel,Klamath Mountains,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,23.444533797097677
sentinel,Klamath Mountains,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.3959902940901724
sentinel,Klamath Mountains,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,17.291735666038125
sentinel,Klamath Mountains,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.2920663533335703
sentinel,Klamath Mountains,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,0.003911216362350503
sentinel,Klamath Mountains,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,-6.60624660307472e-05
sentinel,North Cascades,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,22.0259919967356
sentinel,North Cascades,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.3800199677585946
sentinel,North Cascades,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,18.057899801437866
sentinel,North Cascades,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.3115574772454016
sentinel,North Cascades,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-12.811736614621946
sentinel,North Cascades,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.22104410715947842
sentinel,North Cascades,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,31.06995792280805
sentinel,North Cascades,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.536057781635275
sentinel,North Cascades,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,25.500070379442942
sentinel,North Cascades,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.4399591139810639
sentinel,North Cascades,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-19.1216413627674
sentinel,North Cascades,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.3299104773690663
sentinel,Northern Rockies,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,31.652783745239596
sentinel,Northern Rockies,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.829632482583637
sentinel,Northern Rockies,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,26.65810247399627
sentinel,Northern Rockies,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.6987198318630257
sentinel,Northern Rockies,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-25.655062851968008
sentinel,Northern Rockies,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.6724297507614476
sentinel,Northern Rockies,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,43.33692565546624
