TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Coast Range,Lasso,mae,tcuft,6562.523258000485
Blue Mountains,Coast Range,Lasso,mape,total_cover,0.4669873001787723
Blue Mountains,Coast Range,Lasso,mape,topht,1.089344696710612
Blue Mountains,Coast Range,Lasso,mape,qmd,0.6300547520261431
Blue Mountains,Coast Range,Lasso,mape,tcuft,3.253828488810102
Blue Mountains,Coast Range,Lasso,bias,total_cover,8.366729018917875
Blue Mountains,Coast Range,Lasso,bias,topht,66.97591704258694
Blue Mountains,Coast Range,Lasso,bias,qmd,4.606629429249389
Blue Mountains,Coast Range,Lasso,bias,tcuft,6481.620817438742
Blue Mountains,Coast Range,Lasso,rel_bias,total_cover,-0.2521321179930222
Blue Mountains,Coast Range,Lasso,rel_bias,topht,-1.089344696710612
Blue Mountains,Coast Range,Lasso,rel_bias,qmd,-0.3481718224582706
Blue Mountains,Coast Range,Lasso,rel_bias,tcuft,-3.2137154628344393
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,total_cover,30.343131729301657
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,topht,51.129854769476516
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,qmd,5.481104617630504
Blue Mountains,Coast Range,KNeighborsRegressor,rmse,tcuft,7092.00644185767
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,total_cover,0.9143929547797867
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,topht,0.8316128930537403
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,qmd,0.414265183061579
Blue Mountains,Coast Range,KNeighborsRegressor,nrmse,tcuft,3.5163566963680766
Blue Mountains,Coast Range,KNeighborsRegressor,mae,total_cover,27.77796152441951
Blue Mountains,Coast Range,KNeighborsRegressor,mae,topht,44.8263715323186
Blue Mountains,Coast Range,KNeighborsRegressor,mae,qmd,4.403666050014864
Blue Mountains,Coast Range,KNeighborsRegressor,mae,tcuft,6579.993287334199
Blue Mountains,Coast Range,KNeighborsRegressor,mape,total_cover,0.837091324081918
Blue Mountains,Coast Range,KNeighborsRegressor,mape,topht,0.7290884881868982
Blue Mountains,Coast Range,KNeighborsRegressor,mape,qmd,0.3328317282037414
Blue Mountains,Coast Range,KNeighborsRegressor,mape,tcuft,3.2624904739812917
Blue Mountains,Coast Range,KNeighborsRegressor,bias,total_cover,27.746591157034064
Blue Mountains,Coast Range,KNeighborsRegressor,bias,topht,44.79575166526247
Blue Mountains,Coast Range,KNeighborsRegressor,bias,qmd,3.3390393419986704
Blue Mountains,Coast Range,KNeighborsRegressor,bias,tcuft,6579.993287334199
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,total_cover,-0.8361459752899076
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,topht,-0.7285904645499784
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,qmd,-0.25236660139883904
Blue Mountains,Coast Range,KNeighborsRegressor,rel_bias,tcuft,-3.2624904739812917
Blue Mountains,Coast Range,RandomForestRegressor,rmse,total_cover,27.310733904813688
Blue Mountains,Coast Range,RandomForestRegressor,rmse,topht,59.26952599020383
Blue Mountains,Coast Range,RandomForestRegressor,rmse,qmd,6.8163247182495095
Blue Mountains,Coast Range,RandomForestRegressor,rmse,tcuft,7858.246650316752
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,total_cover,0.8230113784962905
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,topht,0.9640023857071851
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,qmd,0.5151819212006795
Blue Mountains,Coast Range,RandomForestRegressor,nrmse,tcuft,3.896273707178885
Blue Mountains,Coast Range,RandomForestRegressor,mae,total_cover,24.57710919540229
Blue Mountains,Coast Range,RandomForestRegressor,mae,topht,55.92770114942525
Blue Mountains,Coast Range,RandomForestRegressor,mae,qmd,6.099408399142858
Blue Mountains,Coast Range,RandomForestRegressor,mae,tcuft,7715.5031896551745
Blue Mountains,Coast Range,RandomForestRegressor,mape,total_cover,0.7406333564253548
Blue Mountains,Coast Range,RandomForestRegressor,mape,topht,0.9096485324359688
Blue Mountains,Coast Range,RandomForestRegressor,mape,qmd,0.46099695468512675
Blue Mountains,Coast Range,RandomForestRegressor,mape,tcuft,3.8254986835131404
Blue Mountains,Coast Range,RandomForestRegressor,bias,total_cover,24.29333908045976
Blue Mountains,Coast Range,RandomForestRegressor,bias,topht,55.92770114942525
Blue Mountains,Coast Range,RandomForestRegressor,bias,qmd,5.910151153568319
Blue Mountains,Coast Range,RandomForestRegressor,bias,tcuft,7715.5031896551745
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,total_cover,-0.7320819189470035
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,topht,-0.9096485324359688
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,qmd,-0.44669277825479975
Blue Mountains,Coast Range,RandomForestRegressor,rel_bias,tcuft,-3.8254986835131404
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,total_cover,27.294382860687367
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,topht,59.53063355582067
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,qmd,7.278060628411552
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,tcuft,5887.567373295929
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,total_cover,0.8225186383373054
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,topht,0.9682492277727422
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,qmd,0.5500801989555154
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,tcuft,2.919172046463129
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,total_cover,24.397670598057964
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,topht,53.72718986519971
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,qmd,6.415559756521763
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,tcuft,5487.706762749594
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,total_cover,0.7352259584451135
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,topht,0.8738578273083519
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,qmd,0.4848918643933741
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,tcuft,2.7209132677894687
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,total_cover,24.135922281249385
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,topht,53.72718986519971
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,qmd,5.963955450576487
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,tcuft,5486.084962256242
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,total_cover,-0.7273381497986479
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,topht,-0.8738578273083519
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,qmd,-0.4507593393778793
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,tcuft,-2.7201091471119527
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,total_cover,22.395613578451748
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,topht,22.569104857048572
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,qmd,4.8051453525966235
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,tcuft,5803.455947455397
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,total_cover,0.6748937933236239
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,topht,0.3670802248201955
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,qmd,0.3631757753223618
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,tcuft,2.8774679422832756
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,total_cover,19.511700997984743
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,topht,19.215881961877027
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,qmd,3.787062610793608
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,tcuft,5592.786193419838
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,total_cover,0.587986832983953
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,topht,0.312540985358628
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,qmd,0.2862284694730553
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,tcuft,2.773013722395242
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,total_cover,-19.05754103758228
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,topht,-15.641085852046121
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,qmd,-3.20445542308896
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,tcuft,-5592.786193419838
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,total_cover,0.5743006824626458
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,topht,0.2543979190742218
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,qmd,0.24219466787563285
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,tcuft,2.773013722395242
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,total_cover,22.749135900787905
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,topht,21.053467639617274
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,qmd,4.38746580626071
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,tcuft,5543.227391854251
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,total_cover,0.6855472197327841
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,topht,0.3424288062528889
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,qmd,0.33160730403878946
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,tcuft,2.7484414909431396
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,total_cover,19.898347264750665
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,topht,17.730200577513372
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,qmd,3.3778981933816388
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,tcuft,5326.135844428946
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,total_cover,0.5996384523842424
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,topht,0.2883767900997688
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,qmd,0.25530357675412557
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,tcuft,2.6408032192111244
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,total_cover,-19.551444957140063
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,topht,-12.863986702394401
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,qmd,-2.4993585722985445
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,tcuft,-5326.135844428946
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,total_cover,0.5891845207035626
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,topht,0.20922917238891622
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,qmd,0.1889030238830559
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,tcuft,2.6408032192111244
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,total_cover,10.774898991445909
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,topht,16.599542993293724
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,qmd,3.3988920300094514
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,tcuft,1245.3954527751837
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,total_cover,0.32470253282154277
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,topht,0.2699869583878396
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,qmd,0.2568903035510947
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,tcuft,0.6174916331358089
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,total_cover,8.558620689655172
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,topht,13.159195402298849
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,qmd,2.5990181046590553
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,tcuft,1020.8505747126442
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,total_cover,0.25791479043990295
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,topht,0.2140306599364367
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,qmd,0.19643535126910136
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,tcuft,0.5061578530435925
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,total_cover,2.4293103448275866
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,topht,3.9787356321839082
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,qmd,-0.7062293451351856
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,tcuft,457.0545977011494
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,total_cover,-0.07320748181503291
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,topht,-0.0647130304729856
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,qmd,0.053377238596179884
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,tcuft,-0.2266166857585757
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rmse,total_cover,10.557440540141384
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rmse,topht,17.841360556463933
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rmse,qmd,3.727062710178404
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rmse,tcuft,1362.9931731097784
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,nrmse,total_cover,0.318149403184032
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,nrmse,topht,0.2901847762969456
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,nrmse,qmd,0.2816936409036311
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,nrmse,tcuft,0.6757989027027915
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,mae,total_cover,8.355448275862067
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,mae,topht,13.778632183908043
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,mae,qmd,3.106307943765204
